date,victimization_primary,incident_primary,gunshot_injury_i,community_area,age,sex,race,location_description,latitude,longitude
2026-02-28 17:32:00,HOMICIDE,HOMICIDE,YES,CHATHAM,20-29,M,BLK,STREET,41.7499916541419,-87.6012246538796
2026-02-28 17:08:00,HOMICIDE,HOMICIDE,YES,AUBURN GRESHAM,0-19,M,BLK,APARTMENT,41.7541383458581,-87.6535446538797
2026-02-28 14:52:00,HOMICIDE,HOMICIDE,YES,ALBANY PARK,20-29,M,WWH,BASEMENT,41.9712469041419,-87.7267909413008
2026-02-28 14:52:00,NON-FATAL,HOMICIDE,YES,ALBANY PARK,20-29,M,WHI,BASEMENT,41.9712469041419,-87.7267909413008
2026-02-28 14:52:00,NON-FATAL,HOMICIDE,YES,ALBANY PARK,30-39,M,WWH,BASEMENT,41.9712469041419,-87.7267909413008
2026-02-28 14:42:00,BATTERY,BATTERY,YES,ARMOUR SQUARE,40-49,M,WWH,ALLEY,41.8408316541419,-87.6341646538797
2026-02-28 14:42:00,BATTERY,BATTERY,YES,ARMOUR SQUARE,40-49,M,WHI,ALLEY,41.8408316541419,-87.6341646538797
2026-02-28 07:13:00,BATTERY,BATTERY,YES,AVALON PARK,30-39,M,BLK,SIDEWALK,41.7425083458581,-87.5822153461203
2026-02-28 02:52:00,HOMICIDE,HOMICIDE,YES,CHICAGO LAWN,30-39,M,WWH,STREET,41.7801869041419,-87.7042490586992
2026-02-28 02:40:00,ROBBERY,ROBBERY,YES,AUSTIN,0-19,M,WBH,ALLEY,41.8865569041419,-87.7699309413008
2026-02-28 02:40:00,ROBBERY,ROBBERY,YES,AUSTIN,UNKNOWN,M,UNKNOWN,ALLEY,41.8865569041419,-87.7699309413008
2026-02-27 23:22:00,BATTERY,BATTERY,YES,WASHINGTON HEIGHTS,40-49,M,BLK,BAR OR TAVERN,41.7284883458581,-87.6625546538796
2026-02-27 20:36:00,BATTERY,BATTERY,YES,WEST TOWN,30-39,M,BLK,STREET,41.9098105,-87.69469
2026-02-27 19:00:00,BATTERY,BATTERY,YES,CHICAGO LAWN,30-39,M,BLK,SIDEWALK,41.7783183458581,-87.6830346538796
2026-02-27 17:44:00,BATTERY,BATTERY,YES,,0-19,M,BLK,STREET,,
2026-02-27 17:44:00,BATTERY,BATTERY,YES,,0-19,M,BLK,STREET,,
2026-02-27 17:20:00,ROBBERY,ROBBERY,YES,AUSTIN,30-39,M,BLK,STREET,41.8998230958581,-87.7543609413008
2026-02-27 12:00:00,BATTERY,BATTERY,YES,SOUTH CHICAGO,40-49,M,BLK,RESIDENCE,41.7361583458581,-87.5626853461203
2026-02-25 19:12:00,BATTERY,BATTERY,YES,WOODLAWN,0-19,M,BLK,PARKING LOT / GARAGE (NON RESIDENTIAL),41.7756796689467,-87.5863085474708
2026-02-25 19:12:00,BATTERY,BATTERY,YES,WOODLAWN,0-19,M,BLK,PARKING LOT / GARAGE (NON RESIDENTIAL),41.7756796689467,-87.5863085474708
2026-02-25 19:12:00,BATTERY,BATTERY,YES,WOODLAWN,0-19,M,BLK,PARKING LOT / GARAGE (NON RESIDENTIAL),41.7756796689467,-87.5863085474708
2026-02-25 19:12:00,BATTERY,BATTERY,YES,WOODLAWN,0-19,M,BLK,PARKING LOT / GARAGE (NON RESIDENTIAL),41.7756796689467,-87.5863085474708
2026-02-25 19:00:00,BATTERY,BATTERY,YES,SOUTH SHORE,20-29,M,BLK,STREET,41.7683816541419,-87.5873746538797
2026-02-25 16:28:00,BATTERY,BATTERY,YES,NEW CITY,20-29,M,WWH,PARKING LOT / GARAGE (NON RESIDENTIAL),41.8183730958581,-87.6650709413008
2026-02-24 21:22:00,BATTERY,BATTERY,YES,ROGERS PARK,UNKNOWN,M,BLK,STREET,42.0199083458581,-87.6728046538797
2026-02-24 15:33:00,HOMICIDE,HOMICIDE,YES,WASHINGTON HEIGHTS,20-29,M,BLK,PARKING LOT,41.7230930958581,-87.6628290586992
2026-02-24 07:20:00,BATTERY,BATTERY,YES,WEST PULLMAN,50-59,M,BLK,RESIDENCE,41.6810069041419,-87.6152209413008
2026-02-23 02:07:00,HOMICIDE,HOMICIDE,NO,AUSTIN,20-29,M,WWH,STREET,41.8724430958581,-87.7638490586992
2026-02-22 23:25:00,BATTERY,BATTERY,YES,CHATHAM,30-39,M,UNKNOWN,SIDEWALK,41.7451383458581,-87.6007846538796
2026-02-22 12:40:00,BATTERY,BATTERY,YES,DUNNING,40-49,M,WHI,RESIDENCE,41.9453983458581,-87.7944646538796
2026-02-22 11:21:00,BATTERY,BATTERY,YES,MORGAN PARK,0-19,M,BLK,RESIDENCE,41.6860416541419,-87.6665746538797
2026-02-22 02:00:00,BATTERY,BATTERY,YES,LOWER WEST SIDE,20-29,F,WWH,VEHICLE NON-COMMERCIAL,41.8577683458581,-87.6620153461203
2026-02-21 08:14:00,HOMICIDE,HOMICIDE,YES,WEST GARFIELD PARK,0-19,M,BLK,YARD,41.8690305,-87.73034
2026-02-21 01:10:00,BATTERY,HOMICIDE,YES,EAST SIDE,UNKNOWN,F,UNKNOWN,PARKING LOT,41.7099396689467,-87.5340785474708
2026-02-21 01:10:00,HOMICIDE,HOMICIDE,YES,EAST SIDE,20-29,F,BLK,PARKING LOT,41.7099396689467,-87.5340785474708
2026-02-20 22:14:00,BATTERY,BATTERY,YES,NEAR NORTH SIDE,40-49,M,BLK,STREET,41.9017516541419,-87.6338153461203
2026-02-20 17:15:00,BATTERY,BATTERY,YES,SOUTH SHORE,20-29,M,BLK,APARTMENT,41.7653283458581,-87.5667853461203
2026-02-19 22:30:00,BATTERY,BATTERY,YES,ENGLEWOOD,30-39,M,BLK,APARTMENT,41.7901516541419,-87.6541453461203
2026-02-19 16:38:00,BATTERY,BATTERY,YES,WEST PULLMAN,30-39,M,BLK,STREET,41.6780530958581,-87.6464309413008
2026-02-19 03:29:00,BATTERY,BATTERY,YES,ENGLEWOOD,30-39,M,BLK,STREET,41.7915705,-87.65375
2026-02-18 22:29:00,BATTERY,BATTERY,YES,LOWER WEST SIDE,20-29,M,WWH,ALLEY,41.8519916541419,-87.6828053461203
2026-02-18 15:51:00,BATTERY,BATTERY,YES,NEAR WEST SIDE,0-19,M,BLK,ALLEY,41.8760405,-87.69022
2026-02-17 22:24:00,HOMICIDE,HOMICIDE,YES,,20-29,M,BLK,STREET,,
2026-02-17 12:15:00,HOMICIDE,HOMICIDE,YES,,20-29,F,WWH,STREET,,
2026-02-16 23:00:00,ROBBERY,ROBBERY,YES,WEST PULLMAN,0-19,M,BLK,SIDEWALK,41.6632716541419,-87.6272753461203
2026-02-16 20:41:00,BATTERY,BATTERY,YES,LOOP,0-19,M,BLK,SIDEWALK,41.8835183458581,-87.6264453461203
2026-02-16 05:02:00,BATTERY,BATTERY,YES,AUBURN GRESHAM,40-49,F,BLK,ALLEY,41.7454830958581,-87.6639809413008
2026-02-16 02:24:00,BATTERY,BATTERY,YES,DOUGLAS,20-29,M,BLK,STREET,41.8291705,-87.62675
2026-02-15 23:19:00,HOMICIDE,HOMICIDE,YES,ENGLEWOOD,0-19,M,BLK,STREET,41.7831430958581,-87.6406909413008
2026-02-15 19:24:00,BATTERY,BATTERY,YES,BRIGHTON PARK,30-39,M,WBH,RESIDENCE - YARD (FRONT / BACK),41.8197716541419,-87.6967853461203
2026-02-15 18:15:00,BATTERY,BATTERY,YES,WEST RIDGE,0-19,M,API,STREET,41.9919169041419,-87.6941809413008
2026-02-15 18:15:00,BATTERY,BATTERY,YES,WEST RIDGE,0-19,M,API,STREET,41.9919169041419,-87.6941809413008
2026-02-15 16:00:00,BATTERY,BATTERY,YES,ROGERS PARK,0-19,M,BLK,STREET,42.0218030958581,-87.6726609413008
2026-02-14 23:30:00,BATTERY,BATTERY,YES,WEST ENGLEWOOD,30-39,M,WWH,STREET,41.7612116541419,-87.6707246538796
2026-02-14 17:40:00,BATTERY,BATTERY,YES,ALBANY PARK,20-29,M,WWH,PARK PROPERTY,41.9727330958581,-87.7034709413008
2026-02-14 17:00:00,BATTERY,BATTERY,YES,EAST GARFIELD PARK,30-39,M,BLK,STREET,41.8757116541419,-87.6934646538796
2026-02-14 10:40:00,BATTERY,BATTERY,YES,,30-39,M,WWH,STREET,,
2026-02-14 03:34:00,BATTERY,BATTERY,YES,SOUTH DEERING,0-19,M,BLK,STREET,41.7156116541419,-87.5688046538796
2026-02-13 19:33:00,BATTERY,BATTERY,YES,NEW CITY,0-19,M,WWH,STREET,41.8119030958581,-87.6703190586992
2026-02-11 23:50:00,BATTERY,BATTERY,YES,NEW CITY,20-29,M,WWH,STREET,41.7964130958581,-87.6462790586992
2026-02-11 20:03:00,HOMICIDE,HOMICIDE,YES,BRIGHTON PARK,40-49,F,API,APARTMENT,41.8103169041419,-87.7015009413008
2026-02-11 04:15:00,HOMICIDE,HOMICIDE,YES,,40-49,M,BLK,STREET,,
2026-02-11 03:56:00,HOMICIDE,HOMICIDE,YES,,20-29,M,WWH,STREET,,
2026-02-09 08:37:00,HOMICIDE,HOMICIDE,YES,AUSTIN,20-29,M,BLK,STREET,41.8867483458581,-87.7457946538796
2026-02-08 22:05:00,BATTERY,BATTERY,YES,CHATHAM,30-39,M,BLK,ALLEY,41.7301716541419,-87.6049653461203
2026-02-08 22:05:00,BATTERY,BATTERY,YES,CHATHAM,20-29,M,BLK,ALLEY,41.7301716541419,-87.6049653461203
2026-02-08 17:38:00,BATTERY,BATTERY,YES,,20-29,F,BLK,GAS STATION,,
2026-02-08 17:37:00,BATTERY,BATTERY,YES,RIVERDALE,20-29,M,BLK,APARTMENT,41.6542030958581,-87.6177509413008
2026-02-08 09:25:00,BATTERY,BATTERY,YES,WEST ENGLEWOOD,40-49,M,WWH,STREET,41.7790716541419,-87.6649046538796
2026-02-07 21:21:00,BATTERY,BATTERY,YES,BRIGHTON PARK,0-19,M,WWH,SIDEWALK,41.8110905,-87.70055
2026-02-07 19:09:00,BATTERY,BATTERY,YES,SOUTH SHORE,30-39,M,BLK,SIDEWALK,41.7661716541419,-87.5751446538797
2026-02-07 15:04:00,BATTERY,BATTERY,YES,ROSELAND,40-49,M,WWH,STREET,41.6980569041419,-87.6188290586992
2026-02-07 15:04:00,BATTERY,BATTERY,YES,ROSELAND,30-39,M,WHI,STREET,41.6980569041419,-87.6188290586992
2026-02-07 05:47:00,BATTERY,BATTERY,YES,ALBANY PARK,30-39,M,WWH,SIDEWALK,41.9641416541419,-87.7086353461203
2026-02-06 22:35:00,BATTERY,BATTERY,YES,AUSTIN,20-29,F,BLK,STREET,41.8946369041419,-87.7544990586992
2026-02-06 17:40:00,HOMICIDE,HOMICIDE,YES,CHATHAM,50-59,M,BLK,APARTMENT,41.7491883458581,-87.6118646538797
2026-02-06 04:29:00,HOMICIDE,HOMICIDE,YES,ROSELAND,20-29,M,BLK,STREET,41.6986696689467,-87.6289385474708
2026-02-05 19:33:00,HOMICIDE,HOMICIDE,YES,WEST RIDGE,30-39,F,BLK,APARTMENT,42.0086696689467,-87.6860185474708
